|companyId|createdDate|displayLevel|displayOrder|exchangeCode|fiscalDate|id|itemCode|itemName|locale|modelType|modifiedDate|numericValue|reportType|rowNo|secCode
0|1627|2021-02-01T00:00:00|1.0|10.0|HOSTC|2020-12-31T00:00:00|VIC11000ANNUAL31-DEC-20VN1|11000|Tài sản ngắn hạn|VN|1|2021-03-31T00:00:00|166013805000000|ANNUAL|1|VIC
1|1627|2021-02-01T00:00:00|2.0|20.0|HOSTC|2020-12-31T00:00:00|VIC11100ANNUAL31-DEC-20VN1|11100|Tiền và các khoản tương đương tiền|VN|1|2021-03-31T00:00:00|29403688000000|ANNUAL|1|VIC
2|1627|2021-02-01T00:00:00|3.0|30.0|HOSTC|2020-12-31T00:00:00|VIC11110ANNUAL31-DEC-20VN1|11110|Tiền|VN|1|2021-03-31T00:00:00|9076372000000|ANNUAL|1|VIC
3|1627|2021-02-01T00:00:00|3.0|70.0|HOSTC|2020-12-31T00:00:00|VIC11120ANNUAL31-DEC-20VN1|11120|Các khoản tương đương tiền|VN|1|2021-03-31T00:00:00|20327316000000|ANNUAL|1|VIC
4|1627|2021-02-01T00:00:00|2.0|80.0|HOSTC|2020-12-31T00:00:00|VIC11200ANNUAL31-DEC-20VN1|11200|Các khoản đầu tư tài chính ngắn hạn|VN|1|2021-03-31T00:00:00|10413625000000|ANNUAL|1|VIC
5|1627|2021-02-01T00:00:00|3.0|90.0|HOSTC|2020-12-31T00:00:00|VIC11210ANNUAL31-DEC-20VN1|11210|Đầu tư ngắn hạn|VN|1|2021-03-31T00:00:00|5897650000000|ANNUAL|1|VIC
6|1627|2021-02-01T00:00:00|3.0|100.0|HOSTC|2020-12-31T00:00:00|VIC11290ANNUAL31-DEC-20VN1|11290|Dự phòng giảm giá đầu tư ngắn hạn|VN|1|2021-03-31T00:00:00|4515975000000|ANNUAL|1|VIC
7|1627|2021-02-01T00:00:00|3.0|105.0|HOSTC|2020-12-31T00:00:00|VIC412320ANNUAL31-DEC-20VN1|412320|Đầu tư giữ đến ngày đáo hạn|VN|1|2021-03-31T00:00:00|0|ANNUAL|1|VIC
8|1627|2021-02-01T00:00:00|2.0|110.0|HOSTC|2020-12-31T00:00:00|VIC11300ANNUAL31-DEC-20VN1|11300|Các khoản phải thu ngắn hạn|VN|1|2021-03-31T00:00:00|52395927000000|ANNUAL|1|VIC
9|1627|2021-02-01T00:00:00|3.0|120.0|HOSTC|2020-12-31T00:00:00|VIC11310ANNUAL31-DEC-20VN1|11310|Phải thu khách hàng|VN|1|2021-03-31T00:00:00|16026874000000|ANNUAL|1|VIC
